TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
ANALYTICS,AGG_ANALYTICAL_VALIDATION,SOURCE_ID,TEXT,1
ANALYTICS,AGG_ANALYTICAL_VALIDATION,PURIFIED_PLASMA_ID,TEXT,2
ANALYTICS,AGG_ANALYTICAL_VALIDATION,STUDY_ID,TEXT,3
ANALYTICS,AGG_ANALYTICAL_VALIDATION,TRF_ID,TEXT,4
ANALYTICS,AGG_ANALYTICAL_VALIDATION,COHORT,TEXT,5
ANALYTICS,AGG_ANALYTICAL_VALIDATION,PRIMARY_DIAGNOSIS,TEXT,6
ANALYTICS,AGG_ANALYTICAL_VALIDATION,HIGH_RISK_FACTORS,TEXT,7
ANALYTICS,AGG_ANALYTICAL_VALIDATION,BENIGN_CONDITION,TEXT,8
ANALYTICS,AGG_ANALYTICAL_VALIDATION,STAGE_CURRENT,TEXT,9
ANALYTICS,FACT_REPORT_APPROVALS,TRF_ID,TEXT,1
ANALYTICS,FACT_REPORT_APPROVALS,PURIFIED_PLASMA_ID,TEXT,2
ANALYTICS,FACT_REPORT_APPROVALS,SAMPLE_TYPE,TEXT,3
ANALYTICS,FACT_REPORT_APPROVALS,REPORT_DT,TIMESTAMP_TZ,4
ANALYTICS,FACT_REPORT_APPROVALS,REPORT_TYPE,TEXT,5
ANALYTICS,FACT_REPORT_APPROVALS,REPORT_RESULT,TEXT,6
ANALYTICS,FACT_REPORT_APPROVALS,STUDY_ID,TEXT,7
ANALYTICS,INT_ALIQUOT_ORDER,TRF_ID,TEXT,1
ANALYTICS,INT_ALIQUOT_ORDER,SUBJECT_ID,TEXT,2
ANALYTICS,INT_ALIQUOT_ORDER,PURIFIED_PLASMA_ID,TEXT,3
ANALYTICS,INT_ALIQUOT_ORDER,ACCESSIONED_AT,TIMESTAMP_TZ,4
ANALYTICS,INT_ALIQUOT_ORDER,EXTRACTED_AT,TIMESTAMP_NTZ,5
ANALYTICS,INT_ALIQUOT_ORDER,PURIFIED_PLASMA_VOLUME,FLOAT,6
ANALYTICS,INT_ALIQUOT_ORDER,ALIQUOT_NUM,NUMBER,7
ANALYTICS,INT_ANALYTICAL_VALIDATION,SOURCE_ID,TEXT,1
ANALYTICS,INT_ANALYTICAL_VALIDATION,PURIFIED_PLASMA_ID,TEXT,2
ANALYTICS,INT_ANALYTICAL_VALIDATION,STUDY_ID,TEXT,3
ANALYTICS,INT_ANALYTICAL_VALIDATION,TRF_ID,TEXT,4
ANALYTICS,INT_ANALYTICAL_VALIDATION,COHORT,TEXT,5
ANALYTICS,INT_ANALYTICAL_VALIDATION,PRIMARY_DIAGNOSIS,TEXT,6
ANALYTICS,INT_ANALYTICAL_VALIDATION,HIGH_RISK_FACTORS,TEXT,7
ANALYTICS,INT_ANALYTICAL_VALIDATION,BENIGN_CONDITION,TEXT,8
ANALYTICS,INT_ANALYTICAL_VALIDATION,STAGE_CURRENT,TEXT,9
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,JOB_ID,TEXT,1
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,CLIA_ENV_VERSION,TEXT,2
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,TISSUE_OF_ORIGIN,TEXT,3
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,FIVE_HMC_QC_PERC_DUP,NUMBER,4
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,FIVE_HMC_QC_NUM_ZERO,NUMBER,5
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,FIVE_HMC_QC_UNIQUE_FRAGMENTS,NUMBER,6
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,FIVE_HMC_QC_PERC_ZERO_CPG,NUMBER,7
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,WGS_QC_PERC_DUP,NUMBER,8
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,WGS_QC_NUM_ZERO,NUMBER,9
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,WGS_QC_UNIQUE_FRAGMENTS,NUMBER,10
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,WGS_QC_MASS_RATIO_ERROR_FACTOR,NUMBER,11
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,SCORES_NOT_PANCREATIC,NUMBER,12
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,SCORES_PANCREATIC,NUMBER,13
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,HAS_PASSED_FIVE_HMC_QC_PERC_DUP,NUMBER,14
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,HAS_PASSED_FIVE_HMC_QC_NUM_ZERO,NUMBER,15
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,HAS_PASSED_FIVE_HMC_QC_UNIQUE_FRAGMENTS,NUMBER,16
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,HAS_PASSED_FIVE_HMC_QC_PERC_ZERO_CPG,NUMBER,17
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,HAS_PASSED_WGS_QC_PERC_DUP,NUMBER,18
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,HAS_PASSED_WGS_QC_NUM_ZERO,NUMBER,19
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,HAS_PASSED_WGS_QC_UNIQUE_FRAGMENTS,NUMBER,20
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,HAS_PASSED_WGS_QC_MASS_RATIO_ERROR_FACTOR,NUMBER,21
ANALYTICS,INT_CLIA_RESULTS_QC_FLAGS,HAS_BORDERLINE_PANC_SCORE,NUMBER,22
ANALYTICS,INT_LAB_OPERATIONS,TRF_ID,TEXT,1
ANALYTICS,INT_LAB_OPERATIONS,PURIFIED_PLASMA_ID,TEXT,2
ANALYTICS,INT_LAB_OPERATIONS,SUBJECT_ID,TEXT,3
ANALYTICS,INT_LAB_OPERATIONS,STUDY_ID,TEXT,4
ANALYTICS,INT_LAB_OPERATIONS,SAMPLE_ID,TEXT,5
ANALYTICS,INT_LAB_OPERATIONS,SAMPLE_TYPE_ID,TEXT,6
ANALYTICS,INT_LAB_OPERATIONS,ARRAY_ID,TEXT,7
ANALYTICS,INT_LAB_OPERATIONS,ARRAY_ITEM_ID,TEXT,8
ANALYTICS,INT_LAB_OPERATIONS,OPERATION_NAME,TEXT,9
ANALYTICS,INT_LAB_OPERATIONS,ARRAY_LOCATION,TEXT,10
ANALYTICS,INT_LAB_OPERATIONS,IS_CONTROL,NUMBER,11
ANALYTICS,INT_LAB_OPERATIONS,HAS_CLS_REVIEW,NUMBER,12
ANALYTICS,INT_LAB_OPERATIONS,HAS_LD_REVIEW,NUMBER,13
ANALYTICS,INT_LAB_OPERATIONS,PURIFIED_PLASMA_VOLUME,FLOAT,14
ANALYTICS,INT_LAB_OPERATIONS,ARRAY_CONCENTRATION,FLOAT,15
ANALYTICS,INT_LAB_OPERATIONS,LAST_UPDATED_AT,TIMESTAMP_NTZ,16
